voyage_id,vessel_name,flag,place_of_slave_purchase,place_of_slave_disembarkation,total_embarked,total_disembarked,year_of_arrival,percent_men,percent_women,percent_children,captain's_name,resistance_label,sources
83432,Ruby,U.S.A.,Congo River,Charleston,389,350,1807,,,,"Shaw, Alexander<br/> Caruth",,"[u'Donnan,IV,522-23<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 18 Nov 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 28 Apr 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 23 June 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 11 Aug 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u""LRU1807,Supplement, R423<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>""]"
83439,Ruby,U.S.A.,Congo River,Charleston,412,391,1804,,,,"Shaw, Alexander<br/> Keer",,"[u'Madison, 7: 230<><p>Mattern, David, JCA Stagg, Ellen J. Barber, Mary A. Hackett, Anne Mandeville Colony, Angela Kreider, and Jeanne Kerr Cross (eds.), <em>Papers of James Madison</em> (Charlottesville, VA, 2018)</p>', u""LRU1805,Supplement, R426<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>"", u'LList, 15 Jan 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 3 May 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 20 Nov 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'LList, 25 May 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'Donnan,IV,504<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
83440,Ruby,U.S.A.,Congo River,Charleston,389,350,1806,,,,"Shaw, A",,"[u'Donnan,IV,514,516<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 21 June 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 12 July 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 30 Aug 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 13 June 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 8 July 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 15 Aug 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'CharlestonCourier, 23 May, 1806<><i>Charleston Courier</i>', u""LRU1806,Supplement, R420<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>""]"
83527,Sarah,Great Britain,Loango,New Orleans,244,219,1804,,,,"Kennedy, Henry",,"[u""LR1804<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'BT98/65,128<><p><em>TNA</em> (Kew, London)</p>', u'PP,1806(265),XIII,no.1<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX', u'PP,1806(265),XIII,no.1<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX', u'LList, 20 Dec 1803<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 3 Feb 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 27 Apr 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 22 June 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 Oct 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 8 Mar 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LouisianaGazette, 28 Aug 1804<><i>Louisiana Gazette</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'Leglaunec<>Leglaunec, Jean-Pierre,""A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808,"" <i>Louisiana</i><i> History</i>, 46 (2005): 211-230.', u'MMM, C/EX/L/5/5,1803.099<>Merseyside Maritime Museum, Liverpool Registers of Merchant Ships, Subsidiary Register Books']"
83559,Sir William Douglas,Great Britain,Bonny,Charleston,255,230,1802,,,,"Hannay, William",,"[u""LR1802<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'T70/1579<><p><em>British National Archive</em> (Kew) Treasury</p>', u'LList, 8 Sept 1801<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 23 Feb 1802<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 8 June 1802<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 July 1802<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u""LRU1802,Supplement, S312<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>""]"
83560,Sir William Douglas,Great Britain,"West Central Africa and St. Helena, port unspecified",Savannah,310,279,1803,,,,"Mayers, J<br/> Shaw",,"[u""LR1804<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'PP,1806(265),XIII,no.3<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX', u'LList, 8 Feb 1803<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 20 Sept 1803<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 15 Nov 1803<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 13 Dec 1803<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 24 Jan 1804<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>']"
83564,Sisters,Great Britain,Gambia,Charleston,306,280,1785,,,,"Wise, Diederick",,"[u""LR1786<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'BT98/46,8<><p><em>TNA</em> (Kew, London)</p>', u'LivRO,942HOL(10),477<><i>Liverpool Record Office</i> (Liverpool, UK) 942 HOL, Materials towards a History of Liverpool collected by John Holt and Matthew Gregson, vol. 10', u'Donnan,IV,477-78<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'LList, 23 Aug 1785<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
83575,Speculation,Great Britain,Congo River,Beaufort,119,100,1807,,,,Thompson,,"[u""LR1807<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'Donnan,IV,521<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 24 June 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 25 July 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
83636,Success,Great Britain,"Gold Coast, port unspecified",Charleston,287,263,1784,,,,"Conner, Scott<br/> Connor, John",,"[u'Donnan,IV,475-76<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 16 Dec 1783<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 11 Feb 1785<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
83672,Swan,Great Britain,"Gold Coast, port unspecified",Charleston,215,194,1806,,,,"Smith, D",,"[u'Donnan,IV,514<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 5 Nov 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 16 May 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 24 June 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'T70/1583<><p><em>British National Archive</em> (Kew) Treasury</p>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u""LRU1806,Supplement, S918<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>""]"
83727,Tartar,Great Britain,Congo River,Charleston,267,240,1807,,,,"Mitchell, John",,"[u""LR1807<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'BT98/67,337<><p><em>TNA</em> (Kew, London)</p>', u'ADM7/375<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u""LiverpoolDirectory,97-100<><i>Gore's Directory</i> (Liverpool, 1807)."", u'Donnan,IV,521,523<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 23 Jan 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 24 Mar 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 14 July 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'MMM, C/EX/L/5/6,1806.109<>Merseyside Maritime Museum, Liverpool Registers of Merchant Ships, Subsidiary Register Books']"
83905,Union,Great Britain,Congo River,Charleston,347,312,1806,,,,"Tucker, Joseph",,"[u""LR1807<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'BT98/67,138<><p><em>TNA</em> (Kew, London)</p>', u'ADM7/375<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u""LiverpoolDirectory,97-100<><i>Gore's Directory</i> (Liverpool, 1807)."", u'Donnan,IV,515-16<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 16 Dec 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 6 Jan 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 24 Mar 1807<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'MMM, C/EX/L/5/5,1805.029<>Merseyside Maritime Museum, Liverpool Registers of Merchant Ships, Subsidiary Register Books']"
83947,Venus,Great Britain,Cape Coast Castle,Charleston,320,280,1784,,,,"Buncombe, William",,"[u""LR1784<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'T70/1550<><p><em>British National Archive</em> (Kew) Treasury</p>', u'LList, 5 Aug 1783<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 27 July 1784<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 28 Sept 1784<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 5 Oct 1784<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'Crooks,73<>Crooks, J.J. (ed.), <i>Records Relating to the Gold Coast Settelements from 1750 to 1874</i> (London, 1923). ', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
83989,Washington,U.S.A.,Bonny,Charleston,590,530,1805,,,,Belcher<br/> Waldo,,"[u'Donnan,IV,508-09<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 31 Dec 1805<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 3 Jan 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 21 Mar 1806<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u""LRU1806,Supplement, W050<><p><em>Lloyd's Register of Shipping</em>, Green Underwriters' Book (London, 1764-)</p>""]"
84036,Louisa,Great Britain,Gambia,Charleston,80,62,1784,,,,"Cowell<br/> Charters, Thomas<br/> Court, John",,"[u""LR1784<><i>Lloyd's Register of Shipping</i>, 1764, 1768, 1776, 1778-84, 1786-1787, 1789-1808 (all published in London)."", u'LivRO,942HOL(10),477<><i>Liverpool Record Office</i> (Liverpool, UK) 942 HOL, Materials towards a History of Liverpool collected by John Holt and Matthew Gregson, vol. 10', u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'w, 23 Sept 1784<><i>Williamson\u2019s Daily Advertiser (Liverpool)</i>', u'Donnan,IV,475<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 24 Sept 1784<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.']"
90019,Mercury,Great Britain,Gambia,Rappahannock,171,140,1745,,,,"Bacon, William",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'DP,45.12.17<><i>Daily Post</i>', u'MMM,LivReg,1739-65<><i>Merseyside Maritime Museum</i> (Liverpool, UK) C/EX/L/2-6, Liverpool Statutory Registers of British Merchant Ships, 1739-1807', u'Minch,134-35<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
90040,William,Great Britain,Calabar,York River,409,350,1749,,,,"Simmons, John",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'LList, 6 Sept 1748<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 9 Sept 1748<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'Minch,138-39<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
90054,Saint George,Great Britain,"Africa., port unspecified",York River,148,131,1745,,,,"Grayson, John",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'PLP,46.04.11<><i>Penny London Post</i>', u'PLP,46.08.01<><i>Penny London Post</i>', u'PLP,46.09.08<><i>Penny London Post</i>', u'MMM,LivReg,1739-65<><i>Merseyside Maritime Museum</i> (Liverpool, UK) C/EX/L/2-6, Liverpool Statutory Registers of British Merchant Ships, 1739-1807']"
90118,Lamb,Great Britain,Gambia,Charleston,126,103,1749,,,,"Anyon, Timothy",Slave insurrection,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'LList, 12 Dec 1749<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'EXT1/299<><i>The National Archives</i> (Kew, UK) Documents and objects extracted from various record series']"
90120,Pardoe,Great Britain,Gambia,Charleston,240,197,1749,,,,"Gother, Anthony",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'Donnan,IV,301<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'EXT1/299<><i>The National Archives</i> (Kew, UK) Documents and objects extracted from various record series']"
90166,Lintot,Great Britain,Calabar,"Virginia, port unspecified",230,197,1753,,,,"Lowe, Ralph",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'LList, 14 Aug 1753<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'MG, 2 August, 1753<><p><em>Maryland Gazette</em>, (Annapolis, U.S.A.)</p>']"
90187,Cumberland,Great Britain,Gambia,York River,120,103,1752,,,,"Griffin, John",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'T70/1519<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/29,f,34<><p><em>British National Archive</em> (Kew) Treasury</p>']"
90188,Cumberland,Great Britain,Gambia,"Virginia, port unspecified",230,197,1753,,,,"Allen, Patrick",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'Donnan,II,499<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
90226,Brownlow,Great Britain,"Gold Coast, port unspecified",Charleston,218,156,1749,,,,"Jackson, Richard",Slave insurrection,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'Donnan,IV,301<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Martin,Spurrell,xi,xvi,22,81,111<>Martin, Bernard, and Martin Spurrell (eds.), <i>The Journal of a Slave Trader (John Newton), 1750-1754</i> (London, 1962).', u'EXT1/299<><i>The National Archives</i> (Kew, UK) Documents and objects extracted from various record series']"
90264,Telemachus,Great Britain,Bonny,Charleston,500,428,1750,,,,"Bannister, Robert<br/> Work, Joseph",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'Donnan,IV,301<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'LList, 17 July 1750<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'LList, 21 Aug 1750<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'EXT1/299<><i>The National Archives</i> (Kew, UK) Documents and objects extracted from various record series']"
90270,Betty (a) Lovely Betty,Great Britain,"Windward Coast, port unspecified","Virginia, port unspecified",148,131,1752,,,,"Jackson, George",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'LList, 26 Jan 1753<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>']"
90278,Boyne,Great Britain,Bonny,York River,249,203,1752,,,,"Wilkinson, William",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'Minch,148-49<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
90296,Orrell,Great Britain,Gambia,Charleston,120,106,1751,,,,"Lacer, Samuel",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'T70/1519<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Donnan,IV,301-302<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/29,f,31v<><p><em>British National Archive</em> (Kew) Treasury</p>']"
90297,Orrell,Great Britain,Gambia,York River,110,81,1752,,,,"Lacer, Samuel<br/> Whitesides, John<br/> Griffin, James",,"[u'LST,1744-1786<>Richardson, David, Katherine Beedham, and M. M. Schofield, <i>Liverpool </i><i> Shipping and Trade, 1744-1786</i> (ESRC Archives, University of Essex, 1992).', u'T70/1519<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Williams,677<>Williams, Gomer, <i>History of the Liverpool Privateers and Letters of Marque with an Account of the Liverpool Slave Trade</i> (London, 1897).', u'T70/29,f,37v<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Minch,150-51<>Minchinton, Walter E., Celia King, and Peter Waite (eds.), <i>Virginia</i><i> Slave Trade Statistics, 1698-1775</i> (Richmond, 1984).']"
